legacy_make,legacy_model,legacy_variant_count,legacy_body_types,current_status,selection_decision,current_model_name,generation_action,lineup_refresh_needed,price_refresh_needed,modern_feature_refresh_needed,audited_replacement,reason,verification_source,final_selected,final_priority,refresh_effort,recommendation_role,drop_reason
Mini,John Cooper Works,1,"Sports, Hatchback",not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mitsubishi,Montero,1,SUV,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mitsubishi,Outlander,1,SUV,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Mitsubishi,Pajero Sport,5,SUV,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Nissan,Gtr,1,Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,Legacy Nissan model is no longer part of the current India passenger shortlist; current Nissan alternatives are outside this 2021 legacy mapping.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Nissan,Kicks,8,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,Legacy Nissan model is no longer part of the current India passenger shortlist; current Nissan alternatives are outside this 2021 legacy mapping.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Nissan,Micra,4,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,Legacy Nissan model is no longer part of the current India passenger shortlist; current Nissan alternatives are outside this 2021 legacy mapping.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Nissan,Micra Active,3,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,Legacy Nissan model is no longer part of the current India passenger shortlist; current Nissan alternatives are outside this 2021 legacy mapping.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Nissan,Sunny,7,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,Legacy Nissan model is no longer part of the current India passenger shortlist; current Nissan alternatives are outside this 2021 legacy mapping.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Nissan,Terrano,6,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,Legacy Nissan model is no longer part of the current India passenger shortlist; current Nissan alternatives are outside this 2021 legacy mapping.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Porsche,718,2,Convertible|Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Porsche,911,2,Convertible|Coupe,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Porsche,Cayenne,3,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Porsche,Cayenne Coupe,2,,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Porsche,Macan,2,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Porsche,Panamera,3,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Premier,Rio,6,SUV,make_discontinued_or_no_current_india_passenger_sales,DROP_DISCONTINUED_MAKE,,drop,False,False,False,False,Make is discontinued/absent from current Indian passenger-car market for this compact refresh scope.,,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Renault,Captur,4,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.renault.co.in/cars.html,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Renault,Duster,9,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.renault.co.in/cars.html,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Renault,Kwid,12,Hatchback,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Kwid,review_if_expanding_scope,True,True,True,False,"Current Renault model, omitted because shortlist already has enough budget hatchbacks.",https://www.renault.co.in/cars.html,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Renault,Lodgy,7,MUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.renault.co.in/cars.html,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Renault,Triber,4,MUV,current_promoted_for_final_shortlist,KEEP_BUT_REFRESH_LINEUP,Triber,refresh_current_lineup,True,True,True,False,Promoted review case for affordable 7-seat diversity and extra manufacturer coverage.,https://www.renault.co.in/cars.html,True,DIVERSITY,MEDIUM,mpv_7_seater,
Skoda,Kodiaq,3,SUV,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Kodiaq,review_if_expanding_scope,True,True,True,False,"Current premium SUV, omitted as high-price/low-volume.",https://www.skoda-auto.co.in/,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Skoda,Kodiaq Scout,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.skoda-auto.co.in/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Skoda,Monte Carlo,4,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.skoda-auto.co.in/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Skoda,Octavia,12,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.skoda-auto.co.in/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Skoda,Rapid,14,Sedan,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Rapid,review_if_expanding_scope,True,True,True,False,Replaced by Slavia; not selected because sedan coverage already met by City/Verna/Dzire/Amaze.,https://www.skoda-auto.co.in/,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Skoda,Superb,7,Sedan,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Superb,review_if_expanding_scope,True,True,True,False,Possible/import premium sedan; omitted as low-volume/high-price.,https://www.skoda-auto.co.in/,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Skoda,Superb Sportline,2,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.skoda-auto.co.in/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Tata,Altroz,10,Hatchback,current_in_india,KEEP_BUT_REFRESH_LINEUP,Altroz,refresh_current_lineup,True,True,True,False,"Current Tata hatchback; useful for hatchback, diesel/CNG/petrol diversity after refresh.",https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,True,DIVERSITY,LOW,premium_hatchback,
Tata,Bolt,8,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Tata,Harrier,6,Hatchback|SUV,current_in_india,KEEP_BUT_REPLACE_GENERATION,Harrier,replace_current_generation,True,True,True,False,Current Harrier received major update; legacy early rows should be replaced/reviewed.,https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,True,CORE,HIGH,highway_suv,
Tata,Hexa,7,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Tata,Nano Genx,6,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Tata,Nexon,24,SUV,current_audited,AUDITED_REPLACEMENT,Nexon,use_audited_replacement,False,False,False,True,Audited Tata Nexon rows are authoritative.,https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,True,CORE,LOW,compact_suv,
Tata,Nexon Ev,3,SUV,current_in_india,KEEP_BUT_REFRESH_LINEUP,Nexon EV,refresh_current_lineup,True,True,True,False,Current EV derivative is useful for EV coverage; do not merge with ICE audited rows without explicit EV audit.,https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,True,DIVERSITY,MEDIUM,ev,
Tata,Safari Storme,4,SUV,current_in_india,KEEP_BUT_REPLACE_GENERATION,Safari,replace_current_generation,True,True,True,False,Safari Storme is obsolete; current Safari is a different modern generation.,https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,False,DROP,HIGH,,"Dropped because Harrier, XUV 7XO, Fortuner, Scorpio, Hector, and Creta cover SUV roles with less duplicate replacement."
Tata,Tiago,8,Hatchback,current_in_india,KEEP_BUT_REFRESH_LINEUP,Tiago,refresh_current_lineup,True,True,True,False,Current Tata budget hatchback; keep with price/lineup refresh.,https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,True,DIVERSITY,LOW,budget_hatchback,
Tata,Tiago Nrg,3,Crossover,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Tata,Tigor,6,Sedan,current_in_india,KEEP_BUT_REFRESH_LINEUP,Tigor,refresh_current_lineup,True,True,True,False,Current compact sedan; keep with price/lineup refresh.,https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,True,OPTIONAL,LOW,sedan,
Tata,Tigor Ev,3,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Tata,Winger,1,MUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Tata,Zest,11,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://m.economictimes.com/news/new-updates/tata-motors-june-2026-discounts-up-to-rs-55000-off-on-nexon-curvv-harrier-safari-altroz-tiago-and-tigor/articleshow/131505364.cms,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Toyota,Camry,1,Sedan,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Camry,review_if_expanding_scope,True,True,True,False,"Current hybrid sedan, omitted to keep premium models bounded.",https://www.toyotabharat.com/,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Toyota,Corolla Altis,6,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.toyotabharat.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Toyota,Etios Cross,6,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.toyotabharat.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Toyota,Etios Liva,14,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.toyotabharat.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Toyota,Fortuner,7,SUV,current_in_india,KEEP_BUT_REFRESH_LINEUP,Fortuner,refresh_current_lineup,True,True,True,False,Official Toyota page lists Fortuner; important diesel SUV/premium-lite family.,https://www.toyotabharat.com/,True,DIVERSITY,LOW,premium_lite,
Toyota,Glanza,5,Hatchback,current_in_india,KEEP_BUT_REPLACE_GENERATION,Glanza,replace_current_generation,True,True,True,False,Current Glanza is newer Baleno-based generation; replace old rows.,https://www.toyotabharat.com/,False,DROP,HIGH,,Dropped from final shortlist as a Baleno-overlap high-effort generation replacement; Toyota coverage remains via Fortuner and Innova Crysta.
Toyota,Innova Crysta,16,MUV,current_in_india,KEEP_BUT_REFRESH_LINEUP,Innova Crysta,refresh_current_lineup,True,True,True,False,Official Toyota page lists Innova Crysta; keep for diesel MPV/7-seat coverage.,https://www.toyotabharat.com/,True,CORE,LOW,mpv_7_seater,
Toyota,Land Cruiser,1,SUV,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Land Cruiser,review_if_expanding_scope,True,True,True,False,Current but ultra-premium; omitted from compact recommendation set.,https://www.toyotabharat.com/,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Toyota,Land Cruiser Prado,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.toyotabharat.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Toyota,Platinum Etios,10,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.toyotabharat.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Toyota,Prius,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.toyotabharat.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Toyota,Yaris,14,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.toyotabharat.com/,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volkswagen,Ameo,8,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.volkswagen.co.in/en.html,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volkswagen,Passat,4,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.volkswagen.co.in/en.html,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volkswagen,Polo,8,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",https://www.volkswagen.co.in/en.html,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volkswagen,Tiguan,2,SUV,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Tiguan,review_if_expanding_scope,True,True,True,False,"Current Tiguan R-Line, omitted as premium/low-volume.",https://www.volkswagen.co.in/en.html,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Volkswagen,Vento,12,Hatchback|Sedan,current_or_successor_available_not_shortlisted,REVIEW_REQUIRED,Vento,review_if_expanding_scope,True,True,True,False,Replaced by Virtus; not selected because sedan coverage already sufficient.,https://www.volkswagen.co.in/en.html,False,DROP,HIGH,,Review-required model not promoted; does not add enough value for this small hybrid refresh.
Volvo,S60,2,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volvo,S60 Cross Country,1,"Sedan, Crossover",not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volvo,S90,1,Sedan,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volvo,V40,2,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volvo,V40 Cross Country,2,Hatchback,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volvo,V90 Cross Country,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volvo,Xc40,3,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volvo,Xc60,1,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
Volvo,Xc90,5,SUV,not_current_in_selected_market_scope,DROP_DISCONTINUED_MODEL,,drop,False,False,False,False,"Legacy model is discontinued, superseded without selection, or outside the bounded recommendation shortlist.",,False,DROP,NONE,,Not part of the final small-hybrid shortlist.
